Date,Open,High,Low,Close,Volume,Ticker,Year,Month,YearMonth,Daily_Return,MA_30
2024-12-04,429.8590208353051,436.45041220115866,429.4619560010729,434.2168884277344,26009400,MSFT,2024,12,2024-12,0.014424899761829701,418.1014099121094
2024-12-05,434.71321944433936,441.4038541812057,432.9760343176013,439.3787841796875,21697800,MSFT,2024,12,2024-12,0.011887828155749514,418.7257446289062
2024-12-06,439.0611493611207,442.83334120617906,438.5350316138442,440.3218688964844,18821000,MSFT,2024,12,2024-12,0.002146404766806276,419.3772206624349
2024-12-09,439.358906375019,445.0469269750717,437.27427833096584,442.75384521484375,19144400,MSFT,2024,12,2024-12,0.005523178588549893,419.996826171875
2024-12-10,441.1358533918597,446.32753597079886,438.3662754088612,440.0835876464844,18469500,MSFT,2024,12,2024-12,-0.006031020616125038,420.5789388020833
2024-12-11,440.7983204027771,447.0522052493872,440.7983204027771,445.7021484375,19200200,MSFT,2024,12,2024-12,0.012767030965783244,421.17133178710935
2024-12-12,445.8212579806136,452.8196506561494,445.8212579806136,446.2679748535156,20834800,MSFT,2024,12,2024-12,0.0012695169139282925,421.763432820638
2024-12-13,445.15619671011535,448.12429204881937,442.3171239692673,443.9947509765625,20177800,MSFT,2024,12,2024-12,-0.005093853928683334,423.14430440266926
2024-12-16,443.99476884673294,448.8688180665392,442.0193506970221,448.28314208984375,23598800,MSFT,2024,12,2024-12,0.009658652729224837,424.5353688557943
2024-12-17,447.70736185197006,451.9560191338881,446.2779042343056,451.132080078125,22733500,MSFT,2024,12,2024-12,0.00635521999555877,426.08447265625
2024-12-18,448.0150896587636,449.3353370303597,433.8197872534811,434.1871032714844,24444500,MSFT,2024,12,2024-12,-0.03756101052203198,426.9696756998698
2024-12-19,438.3861274271586,439.9347015317489,433.12495005824394,433.8297424316406,22963700,MSFT,2024,12,2024-12,-0.0008230572422606164,427.5550048828125
2024-12-20,429.9384288666516,440.4905928728717,425.4912541783927,433.40289306640625,64263700,MSFT,2024,12,2024-12,-0.0009839098694383042,427.9527333577474
2024-12-23,433.54185407205193,434.44519400818086,429.6604823749245,432.0627746582031,19152500,MSFT,2024,12,2024-12,-0.0030920845929789387,428.40122782389324
2024-12-24,431.4671320524487,436.38089623186573,431.010509030067,436.11285400390625,7164500,MSFT,2024,12,2024-12,0.009373821544582439,429.1343190511068
2024-12-26,435.86472311645826,437.7111185947039,433.4326819773249,434.9018249511719,8194200,MSFT,2024,12,2024-12,-0.0027768708067557046,429.66126708984376
2024-12-27,431.4175228637617,432.0329778888151,423.2279358558446,427.3773193359375,18117700,MSFT,2024,12,2024-12,-0.017301618856345735,429.86573791503906
2024-12-30,422.940089683055,424.419169171776,418.8105484634703,421.7190856933594,13158700,MSFT,2024,12,2024-12,-0.013239433602536321,429.82579142252604
2024-12-31,422.979773462022,423.6051649635355,417.5796069111211,418.4134521484375,13246500,MSFT,2024,12,2024-12,-0.007838472711015676,430.06830342610675
2025-01-02,422.4139505741353,422.9500047735069,411.81216477472935,415.5148315429687,16896500,MSFT,2025,1,2025-01,-0.006927646782351693,430.18909606933596
2025-01-03,417.996542116602,420.92495225496697,416.4678408938124,420.24993896484375,16662900,MSFT,2025,1,2025-01,0.011395760301243119,430.40068969726565
2025-01-06,424.865875513533,431.13960318889787,422.3643396757335,424.7169799804687,20573600,MSFT,2025,1,2025-01,0.010629486411415368,430.83713887532554
2025-01-07,425.8585548495616,427.4964663093926,417.7185890028598,419.277099609375,18139100,MSFT,2025,1,2025-01,-0.012808247909805393,431.1514872233073
2025-01-08,420.3590683350305,423.8433749158129,418.4531451224049,421.4510192871094,15054600,MSFT,2025,1,2025-01,0.005184923478434023,431.4016418457031
2025-01-10,421.5205405563737,421.5999414060332,411.98089654314987,415.8821411132813,20201100,MSFT,2025,1,2025-01,-0.013213583356015857,431.4069366455078
2025-01-13,412.19930745359136,415.4354451072025,409.27092762989713,414.1350402832031,17604800,MSFT,2025,1,2025-01,-0.00420095180187674,431.04957377115886
2025-01-14,414.7504731982745,416.6663329915462,407.7123952362894,412.6261596679687,16935900,MSFT,2025,1,2025-01,-0.003643450730956288,430.80736185709634
2025-01-15,416.06078709453215,425.0147242617403,415.2070689754285,423.1882019042969,19637800,MSFT,2025,1,2025-01,0.025597122210640366,430.90166625976565
2025-01-16,425.5607418772124,426.344935079476,421.2823054267875,421.4708862304687,15300000,MSFT,2025,1,2025-01,-0.004058042417299124,430.6898946126302
2025-01-17,430.9112808415576,431.298439525524,425.03464825408395,425.8883361816406,26197500,MSFT,2025,1,2025-01,0.010481032250366118,430.6180918375651
2025-01-21,427.04974598441896,427.74460185190514,422.4834247796493,425.3621826171875,26085700,MSFT,2025,1,2025-01,-0.0012354260958880037,430.32293497721355
2025-01-22,434.3558409675422,443.9947282693763,432.8072669314077,442.9325866699219,27803800,MSFT,2025,1,2025-01,0.04130692565245542,430.44139506022134
2025-01-23,438.7633112450763,443.4785278251988,438.266972657695,443.4388122558594,18389300,MSFT,2025,1,2025-01,0.0011428953325458568,430.5452931722005
2025-01-24,441.9002090925553,443.37928850377745,438.1677329312852,440.8082580566406,15549500,MSFT,2025,1,2025-01,-0.005932169504596629,430.4804402669271
2025-01-27,420.9051049056437,432.01316613773105,420.3988297966623,431.3778381347656,35647800,MSFT,2025,1,2025-01,-0.02139347380525536,430.19024861653645
2025-01-28,431.4175234893937,445.0966142937209,428.2211016468738,443.9252624511719,23491700,MSFT,2025,1,2025-01,0.029086854277586616,430.1310190836588
2025-01-29,443.41900040059096,443.60761150041753,437.17505205552743,439.0909118652344,23581400,MSFT,2025,1,2025-01,-0.010890010086932689,429.89178365071615
2025-01-30,415.7034295288443,419.7634757332681,410.1345248522129,411.95111083984375,54586300,MSFT,2025,1,2025-01,-0.06180907026770888,428.82366231282555
2025-01-31,415.911907348454,417.60937689111034,411.8717038429144,412.0205993652344,34161900,MSFT,2025,1,2025-01,0.00016868148564763707,427.6149108886719
2025-02-03,408.5859323997036,412.3680300232083,405.6674590737405,407.9109191894531,25679100,MSFT,2025,2,2025-02,-0.009974453175673026,426.17420552571616
2025-02-04,409.6679752687522,410.8889791877868,406.739565274027,409.3503112792969,20532100,MSFT,2025,2,2025-02,0.0035286922269792687,425.3463124593099
2025-02-05,409.3304917519486,410.7996347714461,407.3947588943965,410.26361083984375,16316700,MSFT,2025,2,2025-02,0.0022310953122097743,424.56077473958334
2025-02-06,410.9683447102107,415.1376009046221,410.9683447102107,412.7750244140625,16309800,MSFT,2025,2,2025-02,0.006121463146774531,423.87317911783856
2025-02-07,413.4302096384315,415.58430218979566,405.1115698860282,406.7494812011719,22886800,MSFT,2025,2,2025-02,-0.014597644858585945,423.02940266927084
2025-02-10,410.6804954197058,412.41768060214906,407.9109477120237,409.201416015625,20817900,MSFT,2025,2,2025-02,0.006028120324117703,422.1323547363281
2025-02-11,406.6402867338733,409.4693924071674,406.3027498403555,408.4270935058594,18140600,MSFT,2025,2,2025-02,-0.0018922772000771193,421.24986368815104
2025-02-12,404.2280919312538,407.742177856358,401.40889219439293,406.0447082519531,19121700,MSFT,2025,2,2025-02,-0.005833073495336238,420.5387766520182
2025-02-13,404.0196057632089,407.9903144193584,403.3842778370555,407.53369140625,23891700,MSFT,2025,2,2025-02,0.0036670423823697007,420.06593017578126
2025-02-14,404.8038502840872,405.91564391864586,402.9078331667541,405.4391479492187,22758500,MSFT,2025,2,2025-02,-0.0051395590136457114,419.6334533691406
2025-02-18,405.012314606688,407.593281493885,403.5232987441634,406.6403198242187,21423100,MSFT,2025,2,2025-02,0.0029626440393724085,419.33763631184894
2025-02-19,404.8931666240703,412.4474253032674,404.66483997040297,411.7326965332031,24114200,MSFT,2025,2,2025-02,0.012523049143738918,419.05372823079426
2025-02-20,413.0755241021682,417.0740770038517,410.340188149201,413.9110412597656,23508700,MSFT,2025,2,2025-02,0.005290677045821646,418.6935302734375
2025-02-21,415.1146156659301,415.8208212359378,405.7150240823537,406.0332946777344,27524800,MSFT,2025,2,2025-02,-0.019032463009575173,418.2520701090495
2025-02-24,406.3316944915949,407.1870941067446,397.1906962904959,401.8457336425781,26443700,MSFT,2025,2,2025-02,-0.010313343979537204,417.5985605875651
2025-02-25,398.9612079589026,399.77684273234365,394.58467628789543,395.77825927734375,29387400,MSFT,2025,2,2025-02,-0.015099014017730283,416.9284311930339
2025-02-26,395.8877115559134,401.44790050472056,392.1477511905504,397.5985412597656,19619000,MSFT,2025,2,2025-02,0.004599247027225584,416.37721455891926
2025-02-27,399.1302751559888,403.5764407452776,390.0788238664077,390.4368896484375,21127400,MSFT,2025,2,2025-02,-0.018012268326329628,415.6375722249349
2025-02-28,390.5662102627109,395.50970978817173,384.50868780557136,394.87310791015625,32845700,MSFT,2025,2,2025-02,0.01136219035479269,414.69373575846356
2025-03-03,396.693360360252,396.693360360252,384.1008642400347,386.4184265136719,23007700,MSFT,2025,3,2025-03,-0.021411134937069587,413.5253204345703
